index,param,value,ann_recall,exact_match_topk,recall@5,complete_frac,ndis_per_query
flat,-,0,1.0,1.0,0.768,0.573,66581.0
hnsw,ef,5,0.743,0.407,0.572,0.365,406.5
hnsw,ef,8,0.8254,0.548,0.6265,0.424,512.1
hnsw,ef,10,0.8446,0.59,0.641,0.44,574.3
hnsw,ef,12,0.8652,0.627,0.659,0.455,637.0
hnsw,ef,16,0.9028,0.712,0.692,0.496,766.3
hnsw,ef,20,0.9238,0.77,0.7055,0.508,883.7
hnsw,ef,24,0.9368,0.802,0.7135,0.515,1000.4
hnsw,ef,32,0.9562,0.854,0.7275,0.527,1228.4
hnsw,ef,48,0.973,0.902,0.7405,0.543,1657.0
hnsw,ef,64,0.9812,0.926,0.7485,0.549,2061.4
hnsw,ef,96,0.989,0.955,0.757,0.558,2805.6
hnsw,ef,128,0.992,0.967,0.7595,0.563,3496.5
hnsw,ef,192,0.996,0.983,0.7635,0.568,4748.3
hnsw,ef,256,0.9988,0.994,0.767,0.572,5879.7
hnsw,ef,512,0.9996,0.998,0.768,0.573,9687.5
ivf,nprobe,1,0.3644,0.072,0.3025,0.116,91.5
ivf,nprobe,2,0.5112,0.152,0.426,0.221,176.9
ivf,nprobe,3,0.5876,0.207,0.4855,0.271,260.9
ivf,nprobe,4,0.646,0.266,0.526,0.323,342.4
ivf,nprobe,6,0.7076,0.339,0.573,0.368,500.0
ivf,nprobe,8,0.7504,0.4,0.598,0.396,656.0
ivf,nprobe,12,0.8034,0.472,0.632,0.429,962.1
ivf,nprobe,16,0.8318,0.52,0.653,0.456,1263.3
ivf,nprobe,24,0.8672,0.604,0.6845,0.491,1852.4
ivf,nprobe,32,0.8914,0.665,0.7005,0.503,2429.6
ivf,nprobe,48,0.9202,0.727,0.7255,0.527,3577.4
ivf,nprobe,64,0.938,0.776,0.735,0.535,4695.1
ivf,nprobe,128,0.9696,0.879,0.751,0.552,9094.3
ivf,nprobe,256,0.9894,0.951,0.763,0.566,17795.2
ivf,nprobe,512,0.9982,0.991,0.768,0.572,34532.6
ivf,nprobe,1024,1.0,1.0,0.768,0.573,66581.0
