index,m,nbits,bytes_per_vector,compression,corpus_mib,ann_recall,exact_match_topk,recall@5,complete_frac,build_s
flat,-,32,1536,1.0,97.5,1.0,1.0,0.768,0.573,0.0
sq,-,8,384,4.0,24.4,0.9926,0.916,0.768,0.573,0.1
sq,-,6,288,5.3,18.3,0.9702,0.692,0.7705,0.578,0.2
pq,192,8,192,8.0,12.2,0.9244,0.396,0.766,0.572,44.1
sq,-,4,192,8.0,12.2,0.8964,0.283,0.7655,0.568,0.1
pq,128,8,128,12.0,8.1,0.8696,0.196,0.7625,0.566,46.5
pq,192,4,96,16.0,6.1,0.7876,0.076,0.7465,0.544,2.9
pq,96,8,96,16.0,6.1,0.8042,0.107,0.7515,0.549,24.0
pq,64,8,64,24.0,4.1,0.7146,0.036,0.735,0.527,27.4
pq,96,4,48,32.0,3.0,0.6266,0.007,0.7095,0.5,1.7
pq,48,8,48,32.0,3.0,0.6564,0.015,0.716,0.498,14.6
pq,32,8,32,48.0,2.0,0.542,0.004,0.652,0.423,16.1
pq,24,8,24,64.0,1.5,0.461,0.002,0.5795,0.353,11.2
pq,48,4,24,64.0,1.5,0.4262,0.0,0.5615,0.323,0.8
pq,16,8,16,96.0,1.0,0.3246,0.0,0.4295,0.201,9.5
pq,12,8,12,128.0,0.8,0.2322,0.001,0.286,0.089,8.9
pq,8,8,8,192.0,0.5,0.134,0.0,0.17,0.041,7.5
