setting,policy,keep_ratio,mode,em,f1,recall@5,complete_frac,em_complete,em_incomplete,em_bridge,em_comparison,abstain_rate,decode_p50,decode_p99,parse_fail,trunc,parse_given_stopped,em_given_stopped,gold,distractor,question,system,prompt_all,retention_measured_in
evict_none_b1,none,1.0,short,0.392,0.5078,0.916,0.838,0.4427,0.1296,0.3601,0.526,0.009,3.0,10.0,,,,,,,,,,
evict_recency_r075,recency,0.75,short,0.23,0.3545,0.916,0.838,0.2661,0.0432,0.1869,0.4115,0.0,3.0,32.0,,,,,,,,,,
evict_recency_r050,recency,0.5,short,0.161,0.2786,0.916,0.838,0.1885,0.0185,0.104,0.401,0.001,2.0,32.0,,,,,0.128,0.7274,1.0,0.0,0.4913,short
evict_recency_r025,recency,0.25,short,0.121,0.2298,0.916,0.838,0.142,0.0123,0.0569,0.3906,0.001,2.0,32.0,,,,,0.0448,0.3308,1.0,0.0,0.2402,short
evict_sink4_r075,sink_recent,0.75,short,0.358,0.473,0.916,0.838,0.4093,0.0926,0.3168,0.5312,0.008,3.0,22.049999999999955,,,,,,,,,,
evict_sink4_r050,sink_recent,0.5,short,0.282,0.3883,0.916,0.838,0.3234,0.0679,0.2265,0.5156,0.008,3.0,27.049999999999955,,,,,0.1286,0.7241,1.0,0.0172,0.4949,short
evict_sink4_r025,sink_recent,0.25,short,0.248,0.3527,0.916,0.838,0.284,0.0617,0.1856,0.5104,0.01,3.0,31.00999999999999,,,,,0.0454,0.3295,1.0,0.0172,0.245,short
evict_random_r075_s42,random,0.75,short,0.378,0.4981,0.916,0.838,0.4272,0.1235,0.3428,0.526,0.008,3.0,11.009999999999993,,,,,,,,,,
evict_random_r050_s42,random,0.5,short,0.32,0.4531,0.916,0.838,0.3652,0.0864,0.2772,0.5,0.003,3.0,32.0,,,,,0.4964,0.4946,0.492,0.4945,0.4951,short
evict_random_r025_s42,random,0.25,short,0.087,0.2049,0.916,0.838,0.0979,0.0309,0.0767,0.1302,0.0,22.0,32.0,,,,,0.2303,0.2251,0.2235,0.2338,0.2278,short
evict_attn_r075,attention,0.75,short,0.37,0.4936,0.916,0.838,0.4177,0.1235,0.3317,0.5312,0.009,3.0,11.0,,,,,,,,,,
evict_attn_r050,attention,0.5,short,0.337,0.4659,0.916,0.838,0.3807,0.1111,0.2933,0.5208,0.009,3.0,11.0,,,,,0.2944,0.6067,0.9916,0.2064,0.4958,short
evict_attn_r025,attention,0.25,short,0.299,0.4337,0.916,0.838,0.3389,0.0926,0.2525,0.4948,0.009,3.0,12.0,,,,,0.0915,0.3052,0.9752,0.0471,0.2459,short
evict_sink4_r050_naive,sink_recent_naive,0.5,short,0.282,0.3902,0.916,0.838,0.3234,0.0679,0.2265,0.5156,0.008,3.0,32.0,,,,,,,,,,
evict_none_b1,none,1.0,explain,0.428,0.5617,0.916,0.838,0.4893,0.1111,0.4134,0.4896,0.008,93.0,234.03,0.007,0.007,1.0,0.431,,,,,,
evict_recency_r050,recency,0.5,explain,0.002,0.0286,0.916,0.838,0.0024,0.0,0.0025,0.0,0.001,256.0,256.0,0.931,0.537,0.0799,0.0043,0.128,0.7274,1.0,0.0,0.4913,short
evict_recency_r025,recency,0.25,explain,0.0,0.0328,0.916,0.838,0.0,0.0,0.0,0.0,0.001,85.5,256.0,0.943,0.417,0.0583,0.0,0.0448,0.3308,1.0,0.0,0.2402,short
evict_sink4_r050,sink_recent,0.5,explain,0.058,0.154,0.916,0.838,0.068,0.0062,0.0495,0.0938,0.0,108.0,256.0,0.788,0.109,0.229,0.0651,0.1286,0.7241,1.0,0.0172,0.4949,short
evict_sink4_r025,sink_recent,0.25,explain,0.031,0.1132,0.916,0.838,0.0346,0.0123,0.0248,0.0573,0.0,104.0,256.0,0.761,0.12,0.2295,0.0352,0.0454,0.3295,1.0,0.0172,0.245,short
evict_random_r050_s42,random,0.5,explain,0.126,0.2208,0.916,0.838,0.1432,0.037,0.1176,0.1615,0.001,121.0,256.0,0.128,0.391,0.9524,0.1691,0.4964,0.4946,0.492,0.4945,0.4951,short
evict_random_r025_s42,random,0.25,explain,0.004,0.026,0.916,0.838,0.0048,0.0,0.0025,0.0104,0.0,256.0,256.0,0.854,0.97,0.1667,0.0333,0.2303,0.2251,0.2235,0.2338,0.2278,short
evict_attn_r050,attention,0.5,explain,0.04,0.1877,0.916,0.838,0.0477,0.0,0.0384,0.0469,0.0,86.0,256.0,0.084,0.025,0.9262,0.041,0.2944,0.6067,0.9916,0.2064,0.4958,short
evict_attn_r025,attention,0.25,explain,0.063,0.1722,0.916,0.838,0.0704,0.0247,0.0644,0.0573,0.001,92.0,256.0,0.525,0.199,0.5069,0.0762,0.0915,0.3052,0.9752,0.0471,0.2459,short
