setting,policy,keep_ratio,budget_mean,em,f1,em_complete,em_incomplete,em_bridge,em_comparison,abstain_rate,decode_mean,decode_p99,trunc_frac
evict_none_b1,none,1.0,744.0,0.392,0.5078,0.4427,0.1296,0.3601,0.526,0.009,3.44,10.0,0.0
evict_recency_r075,recency,0.75,558.4,0.23,0.3545,0.2661,0.0432,0.1869,0.4115,0.0,5.45,32.0,0.072
evict_recency_r050,recency,0.5,372.3,0.161,0.2786,0.1885,0.0185,0.104,0.401,0.001,6.03,32.0,0.106
evict_recency_r025,recency,0.25,186.4,0.121,0.2298,0.142,0.0123,0.0569,0.3906,0.001,6.15,32.0,0.105
evict_sink4_r075,sink_recent,0.75,558.4,0.358,0.473,0.4093,0.0926,0.3168,0.5312,0.008,3.76,22.0,0.007
evict_sink4_r050,sink_recent,0.5,372.3,0.282,0.3883,0.3234,0.0679,0.2265,0.5156,0.008,3.81,27.0,0.01
evict_sink4_r025,sink_recent,0.25,186.4,0.248,0.3527,0.284,0.0617,0.1856,0.5104,0.01,3.77,31.0,0.011
evict_random_r075_s42,random,0.75,558.4,0.378,0.4981,0.4272,0.1235,0.3428,0.526,0.008,3.49,11.0,0.0
evict_random_r050_s42,random,0.5,372.3,0.32,0.4531,0.3652,0.0864,0.2772,0.5,0.003,4.1,32.0,0.021
evict_random_r025_s42,random,0.25,186.4,0.087,0.2049,0.0979,0.0309,0.0767,0.1302,0.0,17.71,32.0,0.487
evict_attn_r075,attention,0.75,558.4,0.37,0.4936,0.4177,0.1235,0.3317,0.5312,0.009,3.37,11.0,0.0
evict_attn_r050,attention,0.5,372.3,0.337,0.4659,0.3807,0.1111,0.2933,0.5208,0.009,3.4,11.0,0.003
evict_attn_r025,attention,0.25,186.4,0.299,0.4337,0.3389,0.0926,0.2525,0.4948,0.009,3.45,12.0,0.005
evict_sink4_r050_naive,sink_recent_naive,0.5,372.3,0.282,0.3902,0.3234,0.0679,0.2265,0.5156,0.008,3.86,32.0,0.011
